created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-08-21 15:56:47 UTC,284,,,93.00000,,,,
2019-08-21 15:57:03 UTC,285,337,,,,,,
2019-08-21 15:57:18 UTC,286,,19.00000,,,,,
2019-08-21 15:57:33 UTC,287,,,93.00000,,,,
2019-08-21 15:57:49 UTC,288,336,,,,,,
2019-08-21 15:58:04 UTC,289,337,,,,,,
2019-08-21 15:58:20 UTC,290,,,93.00000,,,,
2019-08-21 15:58:36 UTC,291,337,,,,,,
2019-08-21 15:58:51 UTC,292,,20.00000,,,,,
2019-08-21 15:59:07 UTC,293,,,93.00000,,,,
2019-08-21 15:59:22 UTC,294,337,,,,,,
2019-08-21 15:59:37 UTC,295,,20.00000,,,,,
2019-08-21 15:59:53 UTC,296,,,93.00000,,,,
2019-08-21 16:00:11 UTC,297,,,93.00000,,,,
2019-08-21 16:00:27 UTC,298,337,,,,,,
2019-08-21 16:00:43 UTC,299,,19.00000,,,,,
2019-08-21 16:00:58 UTC,300,,,93.00000,,,,
2019-08-21 16:01:13 UTC,301,,,92.00000,,,,
2019-08-21 16:01:29 UTC,302,338,,,,,,
2019-08-21 16:01:44 UTC,303,,19.00000,,,,,
2019-08-21 16:02:00 UTC,304,,,93.00000,,,,
2019-08-21 16:02:15 UTC,305,337,,,,,,
2019-08-21 16:02:30 UTC,306,,19.00000,,,,,
2019-08-21 16:02:46 UTC,307,,,93.00000,,,,
2019-08-21 16:03:01 UTC,308,338,,,,,,
2019-08-21 16:03:17 UTC,309,,19.00000,,,,,
2019-08-21 16:03:33 UTC,310,338,,,,,,
2019-08-21 16:03:48 UTC,311,,,93.00000,,,,
2019-08-21 16:04:04 UTC,312,338,,,,,,
2019-08-21 16:04:20 UTC,313,,19.00000,,,,,
2019-08-21 16:04:35 UTC,314,,,93.00000,,,,
2019-08-21 16:04:50 UTC,315,339,,,,,,
2019-08-21 16:05:06 UTC,316,,,93.00000,,,,
2019-08-21 16:05:21 UTC,317,339,,,,,,
2019-08-21 16:05:36 UTC,318,,20.00000,,,,,
2019-08-21 16:05:52 UTC,319,,,93.00000,,,,
2019-08-21 16:06:07 UTC,320,339,,,,,,
2019-08-21 16:06:23 UTC,321,,20.00000,,,,,
2019-08-21 16:06:39 UTC,322,,,92.00000,,,,
2019-08-21 16:06:54 UTC,323,,19.00000,,,,,
2019-08-21 16:07:10 UTC,324,,,93.00000,,,,
2019-08-21 16:07:25 UTC,325,340,,,,,,
2019-08-21 16:07:41 UTC,326,,19.00000,,,,,
2019-08-21 16:07:57 UTC,327,,,92.00000,,,,
2019-08-21 16:08:12 UTC,328,,,93.00000,,,,
2019-08-21 16:08:28 UTC,329,,,92.00000,,,,
2019-08-21 16:08:43 UTC,330,341,,,,,,
2019-08-21 16:08:58 UTC,331,341,,,,,,
2019-08-21 16:09:13 UTC,332,341,,,,,,
2019-08-21 16:09:29 UTC,333,,19.00000,,,,,
2019-08-21 16:09:44 UTC,334,,19.00000,,,,,
2019-08-21 16:10:00 UTC,335,,19.00000,,,,,
2019-08-21 16:10:16 UTC,336,,,93.00000,,,,
2019-08-21 16:10:32 UTC,337,340,,,,,,
2019-08-21 16:10:47 UTC,338,340,,,,,,
2019-08-21 16:11:02 UTC,339,340,,,,,,
2019-08-21 16:11:18 UTC,340,,19.00000,,,,,
2019-08-21 16:11:34 UTC,341,,19.00000,,,,,
2019-08-21 16:11:49 UTC,342,,19.00000,,,,,
2019-08-21 16:12:05 UTC,343,,19.00000,,,,,
2019-08-21 16:12:20 UTC,344,339,,,,,,
2019-08-21 16:12:36 UTC,345,340,,,,,,
2019-08-21 16:12:51 UTC,346,340,,,,,,
2019-08-21 16:13:06 UTC,347,340,,,,,,
2019-08-21 16:13:22 UTC,348,,20.00000,,,,,
2019-08-21 16:13:38 UTC,349,,,93.00000,,,,
2019-08-21 16:13:54 UTC,350,340,,,,,,
2019-08-21 16:14:10 UTC,351,340,,,,,,
2019-08-21 16:14:25 UTC,352,,19.00000,,,,,
2019-08-21 16:14:41 UTC,353,,,92.00000,,,,
2019-08-21 16:14:56 UTC,354,,,92.00000,,,,
2019-08-21 16:15:12 UTC,355,341,,,,,,
2019-08-21 16:15:28 UTC,356,,19.00000,,,,,
2019-08-21 16:15:43 UTC,357,,,93.00000,,,,
2019-08-21 16:15:59 UTC,358,341,,,,,,
2019-08-21 16:16:15 UTC,359,341,,,,,,
2019-08-21 16:16:30 UTC,360,,19.00000,,,,,
2019-08-21 16:16:46 UTC,361,,,93.00000,,,,
2019-08-21 16:17:01 UTC,362,341,,,,,,
2019-08-21 16:17:17 UTC,363,,19.00000,,,,,
2019-08-21 16:17:32 UTC,364,,19.00000,,,,,
2019-08-21 16:17:48 UTC,365,,,93.00000,,,,
2019-08-21 16:18:03 UTC,366,341,,,,,,
2019-08-21 16:18:19 UTC,367,,19.00000,,,,,
2019-08-21 16:18:34 UTC,368,,,93.00000,,,,
2019-08-21 16:18:49 UTC,369,341,,,,,,
2019-08-21 16:19:05 UTC,370,,20.00000,,,,,
2019-08-21 16:19:20 UTC,371,,,93.00000,,,,
2019-08-21 16:19:36 UTC,372,,,93.00000,,,,
2019-08-21 16:19:51 UTC,373,343,,,,,,
2019-08-21 16:20:07 UTC,374,,19.00000,,,,,
2019-08-21 16:20:23 UTC,375,,,91.00000,,,,
2019-08-21 16:20:38 UTC,376,,,92.00000,,,,
